,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE,Year Sale,Year Build,SALES_PRICE_LAKHS
0,Karapakkam,1004,2011-04-05,131,1,1,3,Abnormal,Yes,1967-05-15,Commercial,All Pub,Paved,A,380000,144400,7600000,2011,1967,7.6
1,Anna Nagar,1986,2006-12-19,26,2,1,5,Abnormal,No,1995-12-22,Commercial,All Pub,Gravel,RH,760122,304049,21717770,2006,1995,21.72
2,Adyar,909,2012-04-02,70,1,1,3,Abnormal,Yes,1992-09-02,Commercial,ELO,Gravel,RL,421094,92114,13159200,2012,1992,13.16
3,Velachery,1855,2010-03-13,14,3,2,5,Family,No,1988-03-18,Others,No Sewage,Paved,I,356321,77042,9630290,2010,1988,9.63
4,Karapakkam,1226,2009-05-10,84,1,1,3,Abnormal,Yes,1979-10-13,Others,All Pub,Gravel,C,237000,74063,7406250,2009,1979,7.41
5,Chrompet,1220,2014-11-09,36,2,1,4,partial,No,2009-12-09,Commercial,No Sewage,No Access,RH,409027,198316,12394750,2014,2009,12.39
6,Chrompet,1167,2007-05-04,137,1,1,3,partial,No,1979-12-04,Others,All Pub,No Access,RL,263152,33955,8488790,2007,1979,8.49
7,Velachery,1847,2006-03-13,176,3,2,5,Family,No,1996-03-15,Commercial,All Pub,Gravel,RM,604809,235204,16800250,2006,1996,16.8
8,Chrompet,771,2011-06-04,175,1,1,2,Adj Land,No,1977-04-14,Others,No Sewage,Paved,RM,257578,33236,8308970,2011,1977,8.31
9,Velachery,1635,2006-06-22,74,2,1,4,Abnormal,No,1991-06-26,Others,ELO,No Access,I,323346,121255,8083650,2006,1991,8.08
10,Chrompet,1203,2006-10-19,78,2,1,4,Adj Land,Yes,1978-10-26,Commercial,All Pub,No Access,RM,403326,119504,14938000,2006,1978,14.94
11,Chrompet,1054,2009-02-16,143,1,1,3,partial,No,1972-02-26,Others,No Sewage,Gravel,RM,245693,141746,9449730,2009,1972,9.45
12,Chrompet,1196,2010-11-02,137,1,1,3,Family,No,1991-02-16,Others,No Sewage,No Access,RL,289554,35097,8774370,2010,1991,8.77
13,Adyar,1056,2007-01-01,83,1,1,3,partial,Yes,1981-07-01,Others,No Sewage,Paved,RH,319141,37546,9386490,2007,1981,9.39
